"region","week","date_from","date_to","track_id","track_name","artist","track_position","track_streams","track_url"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","27SdWb2rFzO6GWiYDBTD9j","Cheap Thrills","Sia","173","3213614","https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","6SUocL0caib4mLHe8ZrZzi","Sun Comes Up (feat. James Arthur)","Rudimental","174","3201910","https://open.spotify.com/track/6SUocL0caib4mLHe8ZrZzi"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","5xMzazov0IHYllrc8U2K6F","Ni Tú Ni Yo (feat. Gente de Zona)","Jennifer Lopez","175","3197595","https://open.spotify.com/track/5xMzazov0IHYllrc8U2K6F"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","0RYXEibxMami3QuT8kn4Iz","Marmalade (feat. Lil Yachty)","Macklemore","176","3191737","https://open.spotify.com/track/0RYXEibxMami3QuT8kn4Iz"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","6i0V12jOa3mr6uu4WYhUBr","Heathens","Twenty One Pilots","177","3171705","https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","7bJwvubZZaoGE1AGEfu8Fi","One Last Time","Ariana Grande","178","3171207","https://open.spotify.com/track/7bJwvubZZaoGE1AGEfu8Fi"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","53mrVsi49rLHIaKBiSvElG","do re mi (feat. Gucci Mane)","blackbear","179","3159780","https://open.spotify.com/track/53mrVsi49rLHIaKBiSvElG"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","5hYTyyh2odQKphUbMqc5gN","How Far I'll Go - From ""Moana""","Alessia Cara","180","3144222","https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","5yuShbu70mtHXY0yLzCQLQ","Go Flex","Post Malone","181","3141613","https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","75JFxkI2RXiU7L9VXzMkle","The Scientist","Coldplay","182","3140939","https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","4N1c5rmWOzRmB9SMacr5wB","Loco Enamorado","Abraham Mateo","183","3134155","https://open.spotify.com/track/4N1c5rmWOzRmB9SMacr5wB"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","1sBhJGPUKrdRycgKxve70v","Hot2Touch","Felix Jaehn","184","3121825","https://open.spotify.com/track/1sBhJGPUKrdRycgKxve70v"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","2KklXplRtxMsBYo474Es0w","Be Mine","Ofenbach","185","3118353","https://open.spotify.com/track/2KklXplRtxMsBYo474Es0w"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","05ZXXyeZFhZtA6DAP3Aw7x","Loca (feat. Cali y El Dandee)","Maite Perroni","186","3100654","https://open.spotify.com/track/05ZXXyeZFhZtA6DAP3Aw7x"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","7KOlJ92bu51cltsD9KU5I7","T-Shirt","Migos","187","3091076","https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","5NNlUMcOEOdoOIwwaWXv0k","Cold","Maroon 5","188","3084011","https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","4Q3N4Ct4zCuIHuZ65E3BD4","Tunnel Vision","Kodak Black","189","3075756","https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","3E2Zh20GDCR9B1EYjfXWyv","Weak","AJR","190","3068062","https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","3CRDbSIZ4r5MsZ0YwxuEkn","Stressed Out","Twenty One Pilots","191","3043373","https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","6520aj0B4FSKGVuKNsOCOi","Chained To The Rhythm","Katy Perry","192","3040143","https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","2Z8WuEywRWYTKe1NybPQEW","Ride","Twenty One Pilots","193","3024910","https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","6rQSrBHf7HlZjtcMZ4S4bO","Safari","J Balvin","194","3015714","https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","0pSBuHjILhNEo55xK1zrRt","Rolex","Ayo & Teo","195","3008374","https://open.spotify.com/track/0pSBuHjILhNEo55xK1zrRt"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","7DM4BPaS7uofFul3ywMe46","Vente Pa' Ca (feat. Maluma)","Ricky Martin","196","3003473","https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","1EaKU4dMbesXXd3BrLCtYG","ELEMENT.","Kendrick Lamar","197","2987571","https://open.spotify.com/track/1EaKU4dMbesXXd3BrLCtYG"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","5qqabIl2vWzo9ApSC317sa","Wonderwall - Remastered","Oasis","198","2975831","https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","61HHDBLqF3AmSvLfHKNGd2","Ahora Me Llama","KAROL G","199","2971762","https://open.spotify.com/track/61HHDBLqF3AmSvLfHKNGd2"
"global","2017-08-04--2017-08-11","2017-08-04","2017-08-11","4tCtwWceOPWzenK2HAIJSb","Work from Home (feat. Ty Dolla $ign)","Fifth Harmony","200","2970256","https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","2rb5MvYT7ZIxbKW5hfcHx8","Mi Gente","J Balvin","1","32010050","https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","7nZmah2llfvLDiUjm0kiyz","Friends (with BloodPop®)","Justin Bieber","2","26564864","https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","5CtI0qwDJkDQGwXD1H1cLb","Despacito - Remix","Luis Fonsi","3","23650698","https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","3B54sVLJ402zGa6Xm4YGNe","Unforgettable","French Montana","4","23163725","https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","5bcTCxgc7xVfSaMV3RuVke","Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris","5","22208629","https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","1OAh8uOEOvTDqkKFsKksCi","Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled","6","22208466","https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","2ekn2ttSfGqwhhate0LSR0","New Rules","Dua Lipa","7","21427041","https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","3A7qX2QjDlPnazUsRk5y0M","2U (feat. Justin Bieber)","David Guetta","8","18936010","https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M"
"global","2017-08-18--2017-08-25","2017-08-18","2017-08-25","4iLqG9SeJSnt0cSPICSjxv","Attention","Charlie Puth","9","18764590","https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv"
